
央视频道,#genre#
CGTN英语,http://nas.jumping.wang:5555/udp/239.93.0.104:5140
CGTN西班牙语,http://nas.jumping.wang:5555/udp/239.93.42.49:5140
CGTN法语,http://nas.jumping.wang:5555/udp/239.93.42.50:5140
CETV-1,http://yuju666888.x3322.net:808/hls/204/index.m3u8








C高尔夫网球,http://yuju666888.x3322.net:808/hls/63/index.m3u8
现代教育,http://yuju666888.x3322.net:808/hls/126/index.m3u8




CCTV-2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-13,http://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000





卫视频道,#genre#


湖南卫视,http://114.249.18.134:4022/rtp/239.3.1.132:8012
东方卫视,http://114.249.18.134:4022/rtp/239.3.1.136:8032
浙江卫视,http://114.249.18.134:4022/rtp/239.3.1.137:8036
江苏卫视,http://114.249.18.134:4022/rtp/239.3.1.135:8028
北京卫视,http://114.249.18.134:4022/rtp/239.3.1.241:8000
深圳卫视,http://114.249.18.134:4022/rtp/239.3.1.134:8020
广东卫视,http://114.249.18.134:4022/rtp/239.3.1.142:8048
安徽卫视,http://114.249.18.134:4022/rtp/239.3.1.211:8064
天津卫视,http://114.249.18.134:4022/rtp/239.3.1.141:1234
重庆卫视,http://114.249.18.134:4022/rtp/239.3.1.122:8160
山东卫视,http://114.249.18.134:4022/rtp/239.3.1.209:8052
黑龙江卫视,http://114.249.18.134:4022/rtp/239.3.1.133:8016
河北卫视,http://114.249.18.134:4022/rtp/239.3.1.148:8072
辽宁卫视,http://114.249.18.134:4022/rtp/239.3.1.210:8056
湖北卫视,http://114.249.18.134:4022/rtp/239.3.1.138:8044
吉林卫视,http://114.249.18.134:4022/rtp/239.3.1.240:8172
贵州卫视,http://114.249.18.134:4022/rtp/239.3.1.149:8076
东南卫视,http://114.249.18.134:4022/rtp/239.3.1.156:8148
江西卫视,http://114.249.18.134:4022/rtp/239.3.1.123:8164
海南卫视,http://114.249.18.134:4022/rtp/239.3.1.45:8304
云南卫视,http://114.249.18.134:4022/rtp/239.3.1.26:8108
兵团卫视,http://114.249.18.134:4022/rtp/239.3.1.144:4120
厦门卫视,http://114.249.18.134:4022/rtp/239.3.1.143:4120
四川卫视,http://114.249.18.134:4022/rtp/239.3.1.29:8288
南方卫视,http://114.249.18.134:4022/rtp/239.3.1.161:8001
宁夏卫视,http://114.249.18.134:4022/rtp/239.3.1.46:8124
山西卫视,http://114.249.18.134:4022/rtp/239.3.1.42:8172
广西卫视,http://114.249.18.134:4022/rtp/239.3.1.39:8300
新疆卫视,http://114.249.18.134:4022/rtp/239.3.1.48:8160
河南卫视,http://114.249.18.134:4022/rtp/239.3.1.27:8128
甘肃卫视,http://114.249.18.134:4022/rtp/239.3.1.49:8188
西藏卫视,http://114.249.18.134:4022/rtp/239.3.1.47:8164
三沙卫视,http://114.249.18.134:4022/rtp/239.3.1.155:4120
陕西卫视,http://114.249.18.134:4022/rtp/239.3.1.41:8140
青海卫视,http://114.249.18.134:4022/rtp/239.3.1.44:8184
内蒙古卫视,http://114.249.18.134:4022/rtp/239.3.1.43:8176
中国交通HD,http://114.249.18.134:4022/rtp/239.3.1.188:8001
CETV1HD,http://114.249.18.134:4022/rtp/239.3.1.57:8152
CETV2,http://114.249.18.134:4022/rtp/239.3.1.54:4120
CETV3,http://114.249.18.134:4022/rtp/239.3.1.55:4120
CETV4,http://114.249.18.134:4022/rtp/239.3.1.56:4120




北京卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000272103.m3u8
东方卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
天津卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2019927003.m3u8
重庆卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000297803.m3u8
黑龙江卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293903.m3u8
辽宁卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000281303.m3u8
河北卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293403.m3u8
山东卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294803.m3u8
安徽卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000298003.m3u8
河南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000296103.m3u8
湖北卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294503.m3u8
湖南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000296203.m3u8
江西卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294103.m3u8
江苏卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295603.m3u8
浙江卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295503.m3u8
东南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292503.m3u8
广东卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292703.m3u8
深圳卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292203.m3u8
广西卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294203.m3u8
贵州卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293303.m3u8
四川卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295003.m3u8
新疆卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2019927403.m3u8
海南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000291503.m3u8
兵团卫视,http://183.204.13.13/1.v.smtcdns.net/mobilelive-ds.ysp.cctv.cn/ysp/2022606701.m3u8






湖北卫视,http://58.19.38.162:9901/tsfile/live/1015_1.m3u8?key=tvbox6_com&playlive=1&authid=0
湖南卫视,http://58.19.38.162:9901/tsfile/live/1016_1.m3u8?key=tvbox6_com&playlive=1&authid=0
北京卫视,http://58.19.38.162:9901/tsfile/live/1017_1.m3u8?key=tvbox6_com&playlive=1&authid=0
东方卫视,http://58.19.38.162:9901/tsfile/live/1018_1.m3u8?key=tvbox6_com&playlive=1&authid=0
江苏卫视,http://58.19.38.162:9901/tsfile/live/1019_1.m3u8?key=tvbox6_com&playlive=1&authid=0
浙江卫视,http://58.19.38.162:9901/tsfile/live/1020_1.m3u8?key=tvbox6_com&playlive=1&authid=0
安徽卫视,http://58.19.38.162:9901/tsfile/live/1021_1.m3u8?key=tvbox6_com&playlive=1&authid=0
