央视频道,#genre#
CCTV-6,http://fangke.blueswords.com:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://fangke.blueswords.com:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://fangke.blueswords.com:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://fangke.blueswords.com:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://fangke.blueswords.com:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://fangke.blueswords.com:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://fangke.blueswords.com:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://fangke.blueswords.com:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://fangke.blueswords.com:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://fangke.blueswords.com:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0



世界地理,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172003.m3u8?key=txiptv&playlive=1&authid=0
兵器科技,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172103.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171803.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171903.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171703.m3u8?key=txiptv&playlive=1&authid=0
风云音乐,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024163303.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514203.m3u8?key=txiptv&playlive=1&authid=0
高尔网球,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024166203.m3u8?key=txiptv&playlive=1&authid=0
央视台球,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172403.m3u8?key=txiptv&playlive=1&authid=0
电视指南,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172503.m3u8?key=txiptv&playlive=1&authid=0
女性时尚,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172203.m3u8?key=txiptv&playlive=1&authid=0
卫生健康,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024165201.m3u8?key=txiptv&playlive=1&authid=0
CGT英语,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575001.m3u8?key=txiptv&playlive=1&authid=0 
CGT纪录,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574703.m3u8?key=txiptv&playlive=1&authid=0 
CGT西语,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2022571703.m3u8?key=txiptv&playlive=1&authid=0 
CGT法语,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574903.m3u8?key=txiptv&playlive=1&authid=0 
CGT阿语,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574603.m3u8?key=txiptv&playlive=1&authid=0 
CGT俄语,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574803.m3u8?key=txiptv&playlive=1&authid=0 
中国教育,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8?key=txiptv&playlive=1&authid=0








CGTN记录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8




CETV-1,http://yuju666888.x3322.net:808/hls/204/index.m3u8








C高尔夫网球,http://yuju666888.x3322.net:808/hls/63/index.m3u8
现代教育,http://yuju666888.x3322.net:808/hls/126/index.m3u8




CCTV-2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-13,http://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000


兵器科技高清,http://116.23.96.132:50000/udp/239.253.43.18:5146
兵器科技高清,http://116.23.96.132:50000/udp/239.253.43.9:5146
电视指南高清,http://116.23.96.132:50000/udp/239.253.43.19:5146
电视指南高清,http://116.23.96.132:50000/udp/239.253.43.10:5146
风云足球高清,http://116.23.96.132:50000/udp/239.253.43.20:5146
风云足球高清,http://116.23.96.132:50000/udp/239.253.43.14:5146
央视台球高清,http://116.23.96.132:50000/udp/239.253.43.21:5146
央视台球高清,http://116.23.96.132:50000/udp/239.253.43.11:5146
高尔夫网球高清,http://116.23.96.132:50000/udp/239.253.43.22:5146
高尔夫网球高清,http://116.23.96.132:50000/udp/239.253.43.12:5146
女性时尚高清,http://116.23.96.132:50000/udp/239.253.43.23:5146
女性时尚高清,http://116.23.96.132:50000/udp/239.253.43.8:5146
世界地理高清,http://116.23.96.132:50000/udp/239.253.43.24:5146
世界地理高清,http://116.23.96.132:50000/udp/239.253.43.7:5146
怀旧剧场高清,http://116.23.96.132:50000/udp/239.253.43.25:5146
怀旧剧场高清,http://116.23.96.132:50000/udp/239.253.43.5:5146
风云剧场高清,http://116.23.96.132:50000/udp/239.253.43.26:5146
风云剧场高清,http://116.23.96.132:50000/udp/239.253.43.16:5146
央视文化精品高清,http://116.23.96.132:50000/udp/239.253.43.27:5146
央视文化精品高清,http://116.23.96.132:50000/udp/239.253.43.13:5146
第一剧场高清,http://116.23.96.132:50000/udp/239.253.43.28:5146
第一剧场高清,http://116.23.96.132:50000/udp/239.253.43.15:5146
风云音乐高清,http://116.23.96.132:50000/udp/239.253.43.29:5146
风云音乐高清,http://116.23.96.132:50000/udp/239.253.43.6:5146
老故事,http://116.23.96.132:50000/udp/239.77.0.220:5146
老故事,http://116.23.96.132:50000/udp/239.77.1.197:5146
中学生,http://116.23.96.132:50000/udp/239.77.1.195:5146
发现之旅,http://116.23.96.132:50000/udp/239.77.1.112:5146
CHC高清电影,http://116.23.96.132:50000/udp/239.77.0.27:5146
卡酷少儿,http://116.23.96.132:50000/udp/239.77.0.79:5146
卡酷少儿,http://116.23.96.132:50000/udp/239.77.1.50:5146
金鹰卡通,http://116.23.96.132:50000/udp/239.77.0.80:5146
金鹰卡通,http://116.23.96.132:50000/udp/239.77.1.52:5146
金鹰卡通高清,http://116.23.96.132:50000/udp/239.77.0.164:5146
哈哈炫动,http://116.23.96.132:50000/udp/239.77.0.81:5146
哈哈炫动,http://116.23.96.132:50000/udp/239.77.1.139:5146
优漫卡通,http://116.23.96.132:50000/udp/239.77.0.222:5146
优漫卡通,http://116.23.96.132:50000/udp/239.77.1.79:5146
CETV-1高清,http://116.23.96.132:50000/udp/239.77.1.222:5146
中国教育-1高清,http://116.23.96.132:50000/udp/239.77.0.200:5146
CETV-2,http://116.23.96.132:50000/udp/239.77.0.28:5146
CETV-2,http://116.23.96.132:50000/udp/239.77.1.69:5146
CETV-4高清,http://116.23.96.132:50000/udp/239.77.1.200:5146
CETV-4高清,http://116.23.96.132:50000/udp/239.253.43.40:5146
CETV-4高清,http://116.23.96.132:50000/udp/239.253.43.114:5146
早期教育高清,http://116.23.96.132:50000/udp/239.77.0.180:5146

















